plant,plant_desc,sales_organization,sales_organization_desc,bts_month,material,material_description,product_desc,product_code,product_grade,product_bag,quantity_in_kg,quantity_in_mt,quantity_in_lb,as_on_date,update_datetime,production_date,region,vertical,company_segment,so_known_name,line_no,product_quality,product_family,order_type_desc
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000341,"PET,G1,A,JB/NL,1150KG,BD","PET,G1,A,JB/NL,1150KG,BD",G1,,JB/NL,80500,80.5,177470.30000000002,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-05,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000341,"PET,G1,A,JB/NL,1150KG,BD","PET,G1,A,JB/NL,1150KG,BD",G1,,JB/NL,23000,23.0,50705.8,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-05,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000341,"PET,G1,A,JB/NL,1150KG,BD","PET,G1,A,JB/NL,1150KG,BD",G1,,JB/NL,80500,80.5,177470.30000000002,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-04,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000341,"PET,G1,A,JB/NL,1150KG,BD","PET,G1,A,JB/NL,1150KG,BD",G1,,JB/NL,29900,29.900000000000002,65917.54000000001,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-04,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000343,"PET,G1,A,JB/NL,1150KG,NB","PET,G1,A,JB/NL,1150KG,NB",G1,,JB/NL,69000,69.0,152117.4,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-11,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000343,"PET,G1,A,JB/NL,1150KG,NB","PET,G1,A,JB/NL,1150KG,NB",G1,,JB/NL,34500,34.5,76058.7,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-11,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000343,"PET,G1,A,JB/NL,1150KG,NB","PET,G1,A,JB/NL,1150KG,NB",G1,,JB/NL,11500,11.5,25352.9,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-11,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000343,"PET,G1,A,JB/NL,1150KG,NB","PET,G1,A,JB/NL,1150KG,NB",G1,,JB/NL,13800,13.8,30423.480000000003,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-10,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000343,"PET,G1,A,JB/NL,1150KG,NB","PET,G1,A,JB/NL,1150KG,NB",G1,,JB/NL,9200,9.200000000000001,20282.32,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-10,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000343,"PET,G1,A,JB/NL,1150KG,NB","PET,G1,A,JB/NL,1150KG,NB",G1,,JB/NL,25,0.025,55.115,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-05,APAC,PET,IPET,GIVL,,A,,
